TransDate,TransactionDescription,Amount,Balance
08/14,Recurring Withdrawal #322610607420...................................  8667127753 APPLE COM BILL CUPERTINO CA,-15.99,392.17
08/14,Withdrawal POS #322617831031...........................................  KING SOOPERS #01 9225 N COLORADO SPRI CO 5411,-7.43,384.74
08/14,Withdrawal POS #322614660112...........................................  COSTCO WHSE #1014 COLORADO SPRI CO 5300,-151.88,232.86
08/14,Withdrawal Debit Card Visa Check...........................................  BJS RESTAURANTS 502 COLORADO SPRI CO 5812 Amazon.com Pending credit/return for $94.08 on card 0950 Amazon.com Pending credit/return for $94.08 on card 0950,-32.00,200.86
08/14,Withdrawal Adjustment Debit Card Credit Voucher.................  Amazon.com Amzn.com/bill WA 5942,94.08,294.94
08/14,Withdrawal Adjustment Debit Card Credit Voucher.................  Amazon.com Amzn.com/bill WA 5942,94.08,389.02
08/14,Recurring Withdrawal Debit Card Visa Check..........................  APPLE.COM/BILL 866-712-7753 CA 5818,-0.99,388.03
08/15,Withdrawal Debit Card Visa Check...........................................  SCHEELS COLORADO SPRING COLORADO SPRI CO 5941,-58.05,329.98
08/15,Withdrawal Debit Card Visa Check...........................................  KUM&GO 0659R CO SPRIN CO SPRINGS CO 5541,-6.23,323.75
08/15,Recurring Withdrawal Debit Card Visa Check..........................  KING SOOPERS #5119 866-576-4377 CO 5411,-52.13,271.62
08/15,Withdrawal Debit Card Visa Check...........................................  Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA 397914-1.58-51407N11.no7 029314349 4-7 AccountNumber 1159412 StatementPeriod08/01/23thru08/31/23 Page 8 of 13 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance RAISING CANES 0403 COLORADO SPRI CO 5814,-18.94,252.68
08/15,Withdrawal Debit Card Visa Check...........................................  SQ *LUMPIA HOUSE LLC Colorado Spri CO 5814,-13.55,239.13
08/16,"Deposit Home Banking Transfer REF# 62410598....................  From HODGES,JUSTINE B 532694 Share 00",172.00,411.13
08/16,Withdrawal Debit Card Visa Check...........................................  2574PEPSIVEN9147678600 COLORADO SPRI CO 5814,-3.10,408.03
08/18,Deposit ACH UNIVERSITY OF CO............................................  TYPE: DIR DEP CO: UNIVERSITY OF CO,932.94,"1,340.97"
08/18,Withdrawal Home Banking Transfer To Share 11....................  REF# 62464997,-300.00,"1,040.97"
08/18,"Withdrawal Home Banking Transfer REF# 62465057..............  To HODGES,JUSTINE B 532694 Share 11",-35.00,"1,005.97"
08/18,"Withdrawal Home Banking Transfer REF# 62465073..............  To HODGES,JUSTINE B 532694 Share 01",-100.00,905.97
08/18,"Withdrawal Home Banking Transfer REF# 62465075..............  To HODGES,JUSTINE B 532694 Share 12 AMZN Mktp US Pending credit/return for $94.08 on card 0950",-100.00,805.97
08/18,Withdrawal Adjustment Debit Card Credit Voucher.................  AMZN Mktp US Amzn.com/bill WA 5942,94.08,900.05
08/19,Withdrawal POS #323115711152...........................................  KING SOOPERS #01 9225 N COLORADO SPRI CO 5411,-31.37,868.68
08/19,Withdrawal Debit Card Visa Check...........................................  crypto.com Miami FL 6051,-370.65,498.03
08/20,Withdrawal Debit Card Visa Check...........................................  SP TRUECLASSICTEES.C HTTPSTRUECLAS CA 5611,-130.33,367.70
08/20,Withdrawal POS #323200116086...........................................  KING SOOPERS #719 FUEL 9255 N UNION BL COLORADO SPRI CO 5542,-64.76,302.94
08/20,Withdrawal POS #323213832536...........................................  COSTCO WHSE #1014 COLORADO SPRI CO 5300,-109.20,193.74
08/20,Withdrawal POS #323220528080...........................................  KING SOOPERS #01 9225 N COLORADO SPRI CO 5411 Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA AccountNumber 1159412 StatementPeriod08/01/23thru08/31/23 Page 9 of 13 1111111111111111111111010011001100110101001110011000100010000001110000001101110011000001101011100010000001101100001111100011000000111000100110000000111101000101110010100110010111001010000100001001010101000011111011001011111010000111101000011101100101011010011010111110000011001011100111001100110011100111110111001000111101000011110001101101011010000111111010101101010111100100100100111111101000011111111011101110000111000011110000000100010111000110001000101011110101010101010101010101 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance,-45.22,148.52
08/21,Withdrawal Debit Card Visa Check...........................................  KUM&GO 0659R CO SPRIN CO SPRINGS CO 5541,-15.22,133.30
08/21,Recurring Withdrawal Debit Card Visa Check..........................  KING SOOPERS #5119 866-576-4377 CO 5411,-83.98,49.32
08/21,Deposit Home Banking Transfer From Share 00......................  REF# 62561047,160.00,209.32
08/21,Deposit Home Banking Transfer From Share 00......................  REF# 62561103,25.00,234.32
08/21,Deposit Home Banking Transfer From Share 13......................  REF# 62562789,85.00,319.32
08/21,Withdrawal POS #323300126576...........................................  KING SOOPERS #719 FUEL 9255 N UNION BL COLORADO SPRI CO 5542,-77.64,241.68
08/22,Withdrawal Debit Card Visa Check...........................................  2574PEPSIVEN9147678600 COLORADO SPRI CO 5814,-3.10,238.58
08/23,Withdrawal Debit Card Visa Check...........................................  AMZN Mktp US*TQ58I0QG0 Amzn.com/bill WA 5942,-199.22,39.36
08/23,Withdrawal Debit Card Visa Check...........................................  VENMO* Visa Direct NY 4829,-15.00,24.36
08/23,Deposit Home Banking Transfer From Share 00......................  REF# 62611048,350.00,374.36
08/23,Withdrawal POS #323500415517...........................................  TJMAXX #0251 3999 PALMER PARK BLVD. COLORADO SPRI CO 5310,-51.89,322.47
08/24,Withdrawal Debit Card Visa Check...........................................  KUM&GO 0659R CO SPRIN CO SPRINGS CO 5541,-11.27,311.20
08/24,Withdrawal Debit Card Visa Check...........................................  BUFF CITY SOAP - DUBLIN COLORADO SPRI CO 5099,-41.68,269.52
08/24,Withdrawal Debit Card Visa Check...........................................  PLATO’S CLOSET COLORADO SPRI CO 5931,-61.66,207.86
08/24,Deposit Home Banking Transfer From Share 00......................  Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA 397914-1.58-51407N11.no7 029314349 5-7 AccountNumber 1159412 StatementPeriod08/01/23thru08/31/23 Page 10 of 13 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance REF# 62642305,130.00,337.86
08/24,Deposit Home Banking Transfer From Share 00......................  REF# 62651577,215.00,552.86
08/24,Withdrawal Debit Card Visa Check...........................................  CHICK-FIL-A #03985 COLORADO SPRI CO 5814,-10.44,542.42
08/25,Withdrawal Debit Card Visa Check...........................................  APPLE.COM/BILL 866-712-7753 CA 5818,-64.87,477.55
08/25,Withdrawal Debit Card Visa Check...........................................  IK MULTIMEDIA US LLC 9548469101 FL 5732,-216.39,261.16
08/25,Withdrawal Debit Card Visa Check...........................................  GUITARCENTER.COM INTERN 866-498-7882 CA 5733,-140.65,120.51
08/25,Deposit ACH Colorado Springs................................................  TYPE: PR PAYMENT CO: Colorado Springs,605.23,725.74
08/25,Withdrawal Debit Card Visa Check...........................................  CHEBA HUT- COLORADO SPR COLORADO SPRI CO 5812,-29.74,696.00
08/25,Withdrawal Debit Card Visa Check...........................................  CHEBA HUT- COLORADO SPR COLORADO SPRI CO 5812,-3.26,692.74
08/25,Withdrawal Home Banking Transfer To Share 11....................  REF# 62681663,-300.00,392.74
08/25,Withdrawal POS #323800833669...........................................  KING SOOPERS #01 9225 N COLORADO SPRI CO 5411,-8.78,383.96
08/25,Withdrawal Debit Card Visa Check...........................................  VENMO* Visa Direct NY 4829,-18.00,365.96
08/26,Withdrawal Debit Card Visa Check...........................................  AMZN Mktp US*T30ZT3Z50 Amzn.com/bill WA 5942,-10.01,355.95
08/26,Deposit Home Banking Transfer From Share 00......................  REF# 62713024,600.00,955.95
08/26,Withdrawal Debit Card Visa Check...........................................  RAISING CANES 0403 COLORADO SPRI CO 5814,-12.66,943.29
08/27,Withdrawal Debit Card Visa Check...........................................  SCHEELS COLORADO SPRING COLORADO SPRI CO 5941,-516.05,427.24
08/27,Withdrawal Debit Card Visa Check...........................................  DUTCH BROS 541-955-4700 OR 5814 Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA AccountNumber 1159412 StatementPeriod08/01/23thru08/31/23 Page 11 of 13 1111111111111111111111010011001100110111001110011000100010010001110000001101110011000001101011100010000001100100001111100011000010011000100110000000111101000101110010100100110111001010000100100111010101000011111001010111111010000111001011011101100101011000010010111110000011010111011001011100110000011011110111001000111000011011010000111110001011011111111111110111101100100101110101000010111001011011111000111110111111001111010011001100010111000010001001001011110101010101010101010101 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance,-10.00,417.24
08/27,Withdrawal Debit Card Visa Check...........................................  TACO BELL 037416 COLORADO SPRI CO 5814 SCHEELS COLORADO SPRING Pending credit/return for $213.62 on card 0950,-10.87,406.37
08/27,Deposit Home Banking Transfer From Share 00......................  REF# 62734632,200.00,606.37
08/27,Withdrawal POS #323918639992...........................................  COSTCO WHSE #1014 COLORADO SPRI CO 5300,-127.08,479.29
08/27,Withdrawal Debit Card Visa Check...........................................  DUTCH BROS 541-955-4700 OR 5814,-10.00,469.29
08/27,Withdrawal Debit Card Visa Check...........................................  POSHMARK 650-488-7740 CA 5931,-35.56,433.73
08/28,Withdrawal Adjustment Debit Card Credit Voucher.................  SCHEELS COLORADO SPRING COLORADO SPRI CO 5941,213.62,647.35
08/28,Withdrawal Debit Card Visa Check...........................................  SCHEELS COLORADO SPRING COLORADO SPRI CO 5941,-210.34,437.01
08/28,Withdrawal POS #324000117257...........................................  KING SOOPERS #719 FUEL 9255 N UNION BL COLORADO SPRI CO 5542,-70.58,366.43
08/28,Withdrawal Debit Card Visa Check...........................................  TACO BELL 037413 COLORADO SPRI CO 5814,-16.44,349.99
08/28,Withdrawal POS #324013343815...........................................  MURPHY EXPRESS 8984 COLORADO SPRI CO 5541,-2.89,347.10
08/28,Withdrawal Debit Card Visa Check...........................................  SP JIV ATHLETICS HTTPSJIVATHLE CA 5699,-68.40,278.70
08/28,Recurring Withdrawal Debit Card Visa Check..........................  KING SOOPERS #5119 866-576-4377 CO 5411,-65.31,213.39
08/28,Withdrawal Debit Card Visa Check...........................................  KUM&GO 0667R CO SPRIN CO SPRINGS CO 5541,-7.57,205.82
08/30,Withdrawal Debit Card Visa Check...........................................  POSHMARK 650-488-7740 CA 5931,-94.81,111.01
08/30,Withdrawal Debit Card Visa Check...........................................  Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA 397914-1.58-51407N11.no7 029314349 6-7 AccountNumber 1159412 StatementPeriod08/01/23thru08/31/23 Page 12 of 13 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance DUTCH BROS 541-955-4700 OR 5814,-10.00,101.01
08/31,Withdrawal Debit Card Visa Check...........................................  2574PEPSIVEN9147678600 COLORADO SPRI CO 5814,-3.10,97.91
08/31,"Deposit Dividend Tiered Rate..................................................  Annual Percentage Yield Earned 0.030% for period: 08/01/23 to 08/31/23 Ending Balance............................................................................. 97.92 Total for this period Total year-to-date Total Courtesy Pay (Overdraft) Fees $0.00 $0.00 Total Returned Item (Non Sufficient Funds) Fees $30.00 $30.00 The information above is provided to assist you in the management of your checking account. Month to Date (MTD) figures only include fees assessed during the current month. Year to Date (YTD) totals reflect the net fees assessed for the current year. No Strings Checking - 11 NO STRINGS CHECKING Dividends Earned YTD: 0.18 JointOwner:TYMITCHELL Beginning Balance + Deposits & Other Credits (6) - Checks Cleared (0) - Withdrawals & Other Debits (1) = Ending Balance $100.14 $1,400.04 $0.00 $1,200.00 $300.18 TransDate EffDate TransactionDescription Amount Balance Beginning Balance......................................................................... 100.14",0.01,97.92
08/02,Deposit Home Banking Transfer From Share 10......................  REF# 61993259,200.00,300.14
08/04,Deposit Home Banking Transfer From Share 10......................  REF# 62069132,300.00,600.14
08/11,Deposit Home Banking Transfer From Share 10......................  REF# 62265767,300.00,900.14
08/18,Deposit Home Banking Transfer From Share 10......................  REF# 62464997,300.00,"1,200.14"
08/25,Deposit Home Banking Transfer From Share 10......................  REF# 62681663,300.00,"1,500.14"
08/30,Withdrawal Home Banking......................................................  ACH WITHDRAWAL US BANK NA - JUSTINE HODGES,"-1,200.00",300.14
08/31,Deposit Dividend Tiered Rate..................................................  Annual Percentage Yield Earned 0.050% for period: 08/01/23 to 08/31/23 Ending Balance............................................................................. 300.18 Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA AccountNumber 1159412 StatementPeriod08/01/23thru08/31/23 Page 13 of 13 1111111111111111111111010001001100111001001110011000100010010001110000001101110011000001101011100010000001101100001111100011000010011000100110000000010101000101110010100110010111001010000100010001010101000011111010001011111010000111011101101100100101011010001100111010000011100000111001001100110000011010010111001000100000101100110001101100111111001111111100100100100001000101101101001001011001111001110001010011100011001000010000110100100111000100111000101010010101010101010101010101 No Strings Checking - 12 NO STRINGS CHECKING Dividends Earned YTD: 0.01 JointOwner:TYMITCHELL Beginning Balance + Deposits & Other Credits (0) - Checks Cleared (0) - Withdrawals & Other Debits (0) = Ending Balance $0.00 $0.00 $0.00 $0.00 $0.00 TransDate EffDate TransactionDescription Amount Balance Beginning Balance......................................................................... 0.00 Ending Balance............................................................................. 0.00 No Strings Checking - 13 NO STRINGS CHECKING Dividends Earned YTD: 0.01 JointOwner:TYMITCHELL Beginning Balance + Deposits & Other Credits (2) - Checks Cleared (0) - Withdrawals & Other Debits (3) = Ending Balance $0.00 $300.00 $0.00 $225.00 $75.00 TransDate EffDate TransactionDescription Amount Balance Beginning Balance......................................................................... 0.00,0.04,300.18
08/04,Deposit Home Banking Transfer From Share 10......................  REF# 62069205,140.00,140.00
08/08,Withdrawal Home Banking Transfer To Share 10....................  REF# 62191909,-75.00,65.00
08/10,Withdrawal Home Banking Transfer To Share 10....................  REF# 62237470,-65.00,0.00
08/11,Deposit Home Banking Transfer From Share 10......................  REF# 62265789,160.00,160.00
08/21,"Withdrawal Home Banking Transfer To Share 10....................  REF# 62562789 Ending Balance............................................................................. 75.00 YEAR-TO-DATE DIVIDEND SUMMARY Reportable Dividends this Year:............................................................................. 0.54 Reportable dividends of $10.00 or more are reported to the IRS as interest income for the year. ** The Visa Foreign Currency Transaction Fee will be assessed to purchases made outside of the United States as well as to online purchases made within the United States, but the merchant is located outside the United States. ** No-cost loan payment alternatives are available, please call 800-525-9623 for more information. Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA 397914-1.58-51407N11.no7 029314349 7-7",-85.00,75.00
04/04,"Deposit Home Banking Transfer REF# 58451743....................  From HODGES,JUSTINE B 532694 Share 10",100.00,"1,735.26"
04/05,Withdrawal Home Banking Transfer To Share 10....................  REF# 58457972,-200.00,"1,535.26"
