TransDate,TransactionDescription,Amount,Balance,Category
2-Apr,Withdrawal POS #309217088010...........................................  CIRCLE K 09847 COLORADO SPRN CO 5541,-6.23,854.96,Others
3-Apr,Withdrawal POS #309312399643...........................................  CIRCLE K 09847 COLORADO SPRN CO 5541,-6.48,848.48,Others
3-Apr,"Withdrawal Home Banking Transfer........................................  To HODGES,JUSTINE B 532694 Share 10 REF# 58405865 VILLA",-141,707.48,Others
3-Apr,Recurring Withdrawal Debit Card Visa Check..........................  KING SOOPERS 5053 719-598-5177 CO 5411,-42.64,664.84,GROCERIES
4-Apr,Withdrawal Debit Card Visa Check...........................................  McDonalds 4126 COLORADO SPRI CO 5814,-3.55,661.29,DINING
4-Apr,Withdrawal Debit Card Visa Check...........................................  AMZN Mktp US*HY0HZ7IM2 Amzn.com/bill WA 5942,-31.05,630.24,SHOPPING
4-Apr,Withdrawal POS #309417696362...........................................  KUM&GO 0643R CO SPRINGS COLORADO SPRN CO 5541 Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA AccountNumber 1159412 StatementPeriod04/01/23thru04/30/23 Page 3 of 10 1111111111111111111111010011001101110111001110011010100110000001010000001100010011000011101010101010000001111100001100010011000000011000101110000000101111000101010010100101010111000110000100000111010110100011111010011111110011100111001011011100010111011011010000111110111011001111111001001110110000010000010111111000000100000010110010001111010111011111101001001101001110000101101010101101000111111111110011001011000111010011110010001100000110100100001000001010110101010101010101010101 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance,-16.61,613.63,Others
4-Apr,Deposit Home Banking Transfer From Share 13......................  REF# 58451489,56,669.63,TRANSFERS
4-Apr,Withdrawal Home Banking Transfer To Share 13....................  REF# 58451518,-150,519.63,TRANSFERS
5-Apr,Withdrawal Debit Card Visa Check...........................................  CIRCLE K 09847 COLORADO SPRI CO 5542,-56.56,463.07,Others
5-Apr,Deposit Home Banking Transfer From Share 00......................  REF# 58457972,200,663.07,TRANSFERS
5-Apr,Withdrawal POS #309515406336...........................................  CIRCLE K # 40693 COLORADO SPRI CO 5541,-11.71,651.36,Others
6-Apr,Withdrawal Debit Card Visa Check...........................................  CIRCLE K # 40693 COLORADO SPRI CO 5542,-90.09,561.27,Others
6-Apr,"Deposit Home Banking Transfer REF# 58489879....................  From HODGES,JUSTINE B 532694 Share 10",789.45,"1,350.72",TRANSFERS
6-Apr,"Withdrawal Home Banking Transfer REF# 58489890..............  To HODGES,JUSTINE B 532694 Share 01",-300,"1,050.72",TRANSFERS
6-Apr,Withdrawal Home Banking Transfer To Share 12....................  REF# 58489894,-150,900.72,TRANSFERS
6-Apr,Withdrawal Home Banking Transfer To Share 13....................  REF# 58489897,-60,840.72,TRANSFERS
6-Apr,Withdrawal Home Banking Transfer To Share 00....................  REF# 58489900,-75,765.72,TRANSFERS
6-Apr,Withdrawal Debit Card Visa Check...........................................  DOMINO’S 6259 COLORADO SPRI CO 5814,-29.19,736.53,DINING
6-Apr,Withdrawal Debit Card Visa Check...........................................  AMZN Mktp US*HS5EL53Y2 Amzn.com/bill WA 5942,-368.14,368.39,SHOPPING
6-Apr,Withdrawal POS #309621292435...........................................  CIRCLE K # 40693 COLORADO SPRI CO 5541,-6.48,361.91,Others
6-Apr,Withdrawal Debit Card Visa Check...........................................  UCCS DINING SERVICES COLORADO SPRI CO 8220,-7.88,354.03,Others
6-Apr,Withdrawal Debit Card Visa Check...........................................  Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA 379361-1.18-61933N11.no8 026847743 2-5 AccountNumber 1159412 StatementPeriod04/01/23thru04/30/23 Page 4 of 10 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance LEVELUPSMOOTHIEKING78 855-466-5585 MA 5812,-15.67,338.36,Others
7-Apr,Withdrawal Debit Card Visa Check...........................................  ROADHOUSE CINEMAS - COL 520-661-4749 CO 7832,-30.06,308.3,Others
7-Apr,Withdrawal POS #309717008966...........................................  COSTCO WHSE #1030 COLORADO SPG CO 5300,-124.89,183.41,GROCERIES
7-Apr,Withdrawal Debit Card Visa Check...........................................  ALBERTACOS MEXICAN FOO COLORADO SPRI CO 5814,-17.1,166.31,DINING
7-Apr,Recurring Withdrawal #309726108602...................................  VASA FITNESS 800-748-4949 UT,-24.99,141.32,GYM
8-Apr,Deposit Home Banking Transfer From Share 12......................  REF# 58563927,140,281.32,TRANSFERS
8-Apr,Withdrawal POS #309814504519...........................................  KUM&GO 0667R CO SPRIN CO SPRINGS CO 5541,-6.23,275.09,Others
8-Apr,Withdrawal Debit Card Visa Check...........................................  ROADHOUSE CINEMAS RAILY COLORADO SPRI CO 5812,-24.99,250.1,Others
10-Apr,Withdrawal Debit Card Visa Check...........................................  094 TORCHYS COLORADO SP COLORADO SPRI CO 5812,-6.39,243.71,DINING
10-Apr,Recurring Withdrawal #310020719231...................................  ADOBE *CREATIVE CLOUD 408-536-6000 CA,-20.6,223.11,Others
10-Apr,Withdrawal POS #310022539453...........................................  KUM&GO 0667R CO SPRIN CO SPRINGS CO 5541,-10.26,212.85,Others
10-Apr,Withdrawal Debit Card Visa Check...........................................  LEVELUPSMOOTHIEKING91 855-466-5585 MA 5812,-17.84,195.01,DINING
11-Apr,Withdrawal #310122732298...................................................  8667127753 APPLE COM BILL CUPERTINO CA,-3.99,191.02,Others
11-Apr,Recurring Withdrawal #310122734797...................................  8667127753 APPLE COM BILL CUPERTINO CA,-0.99,190.03,Others
12-Apr,Withdrawal Debit Card Visa Check...........................................  STORE*CHICK-FIL-A WWW.DOORDASH. CA 5812,-21.41,168.62,Others
12-Apr,Withdrawal Debit Card Visa Check...........................................  ALBERTACOS MEXICAN FOO COLORADO SPRI CO 5814,-12.75,155.87,DINING
13-Apr,Withdrawal Debit Card Visa Check...........................................  094 TORCHYS COLORADO SP COLORADO SPRI CO 5812,-6.61,149.26,DINING
13-Apr,Withdrawal Debit Card Visa Check...........................................  094 TORCHYS COLORADO SP COLORADO SPRI CO 5812,-6.46,142.8,DINING
14-Apr,Withdrawal Debit Card Visa Check...........................................  AMZN Mktp US*HJ1BH48K1 Amzn.com/bill WA 5942 Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA AccountNumber 1159412 StatementPeriod04/01/23thru04/30/23 Page 5 of 10 1111111111111111111111010011001101110001001110011010100110000001010000001100010011000011101010101010000001100100001100010011000000111000101110000000011111000101010010100110110111000110000100111011010110100011111000011011110011100111010011101100010111011010101111111110111011011000001011011110110001100110011111111000010010110111110010101100001110110111101000011100000001000101101011010000011001111001100110001100110111011011010010111100100110100010001000101011010101010101010101010101 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance,-32.2,110.6,SHOPPING
14-Apr,Deposit ACH UNIVERSITY OF CO............................................  TYPE: DIR DEP CO: UNIVERSITY OF CO,627.55,738.15,INCOME/SALARY
14-Apr,Withdrawal POS #310418461478...........................................  COSTCO WHSE #1030 COLORADO SPG CO 5300,-90.65,647.5,GROCERIES
14-Apr,Recurring Withdrawal Debit Card Visa Check..........................  APPLE.COM/BILL 866-712-7753 CA 5818,-15.99,631.51,Others
14-Apr,Withdrawal POS #310421350891...........................................  CIRCLE K 09847 COLORADO SPRN CO 5541,-4.79,626.72,Others
15-Apr,Withdrawal Debit Card Visa Check...........................................  DP DOUGH COLORADO SPRIN COLORADO SPRI CO 5812,-16.31,610.41,Others
15-Apr,Withdrawal Debit Card Visa Check...........................................  McDonalds 11078 COLORADO SPRI CO 5814,-3.55,606.86,DINING
16-Apr,Withdrawal Debit Card Visa Check...........................................  094 TORCHYS COLORADO SP COLORADO SPRI CO 5812,-6.52,600.34,DINING
16-Apr,Withdrawal Debit Card Visa Check...........................................  RAISING CANES 0392 COLORADO SPRI CO 5814,-22.7,577.64,DINING
17-Apr,Withdrawal POS #310712221538...........................................  CIRCLE K 09847 COLORADO SPRN CO 5541,-14.45,563.19,Others
17-Apr,Withdrawal Debit Card Visa Check...........................................  APPLE.COM/BILL 866-712-7753 CA 5818,-2.99,560.2,Others
17-Apr,Withdrawal Debit Card Visa Check...........................................  094 TORCHYS COLORADO SP COLORADO SPRI CO 5812,-23.94,536.26,DINING
17-Apr,Withdrawal POS #310720485178...........................................  CIRCLE K 09847 COLORADO SPRN CO 5541,-7.39,528.87,Others
17-Apr,Withdrawal POS #310721177133...........................................  LOWE’S #2578 COLORADO SPGS CO 5200,-6.99,521.88,Others
18-Apr,Withdrawal Debit Card Visa Check...........................................  TARGET 00022210 COLORADO SPRI CO 5411,-42.74,479.14,SHOPPING
18-Apr,Withdrawal Debit Card Visa Check...........................................  MCDONALD’S F11078 COLORADO SPRI CO 5814,-9.29,469.85,Others
18-Apr,Withdrawal Debit Card Visa Check...........................................  PANDA EXPRESS #687 COLORADO SPRI CO 5814,-19.15,450.7,DINING
18-Apr,Withdrawal Debit Card Visa Check...........................................  Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA 379361-1.18-61933N11.no8 026847743 3-5 AccountNumber 1159412 StatementPeriod04/01/23thru04/30/23 Page 6 of 10 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance LOWES #00907* 866-483-7521 NC 5200,-7.55,443.15,Others
18-Apr,Withdrawal Debit Card Visa Check...........................................  CHICK-FIL-A #02342 COLO SPGS CO 5814,-9.94,433.21,DINING
18-Apr,Withdrawal Debit Card Visa Check...........................................  PP*DUTCHBROSLL GRANTS PASS OR 5814,-6.16,427.05,Others
19-Apr,Withdrawal Debit Card Visa Check...........................................  CIRCLE K 09847 COLORADO SPRI CO 5542,-54.48,372.57,Others
19-Apr,Deposit ACH SUCCESS FOODS MA.........................................  TYPE: PAYROLL CO: SUCCESS FOODS MA,294.43,667,INCOME/SALARY
19-Apr,Withdrawal POS #310908142535...........................................  CIRCLE K 09847 COLORADO SPRN CO 5541,-2.3,664.7,Others
19-Apr,Withdrawal Home Banking Transfer To Share 11....................  REF# 58864187,-300,364.7,TRANSFERS
19-Apr,Recurring Withdrawal Debit Card Visa Check..........................  APPLE.COM/BILL 866-712-7753 CA 5818,-0.99,363.71,Others
19-Apr,Withdrawal Debit Card Visa Check...........................................  LOWES #00907* 866-483-7521 NC 5200,-14.29,349.42,Others
19-Apr,Withdrawal POS #310918339070...........................................  CIRCLE K 09847 COLORADO SPRN CO 5541,-22.8,326.62,Others
20-Apr,Withdrawal Debit Card Visa Check...........................................  IBI*FABLETICS.COM 855-2023570 CA 5968,-16.92,309.7,Others
20-Apr,Withdrawal Debit Card Visa Check...........................................  RAISING CANES 0468 COLORADO SPRI TX 5814,-22.7,287,DINING
20-Apr,Withdrawal POS #311018519384...........................................  KUM&GO 0665R CO SPRIN CO SPRINGS CO 5541,-3.05,283.95,Others
20-Apr,Withdrawal POS #311020267037...........................................  CIRCLE K 09847 COLORADO SPRN CO 5541,-7.99,275.96,Others
21-Apr,Withdrawal Debit Card Visa Check...........................................  McDonalds 11078 COLORADO SPRI CO 5814,-6.04,269.92,DINING
21-Apr,Withdrawal Debit Card Visa Check...........................................  094 TORCHYS COLORADO SP COLORADO SPRI CO 5812,-6.61,263.31,DINING
21-Apr,"Deposit Home Banking Transfer REF# 58958361....................  From HODGES,JUSTINE B 532694 Share 10",130,393.31,TRANSFERS
21-Apr,Withdrawal Debit Card Visa Check...........................................  Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA AccountNumber 1159412 StatementPeriod04/01/23thru04/30/23 Page 7 of 10 1111111111111111111111010011001101110011001110011010100110010001010000001100010011000011101010101010000001001100001100010011000001011000101110000000000001000101010010100100110111000110000100101101010110100011111000011111110011100111111011001101010111011001101100111010111011011011110101001110110000010010010111111000100010000111010011011101110001010111101100111011101111100100010011000110000010111001101011101110111111010010110000010100010110100000001001001011010101010101010101010101 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance LEVELUPSMOOTHIEKING64 855-466-5585 MA 5812,-15.13,378.18,Others
22-Apr,Withdrawal Debit Card Visa Check...........................................  2574PEPSIVEN9147678600 COLORADO SPRI CO 5814,-2.25,375.93,Others
22-Apr,Withdrawal POS #311212637740...........................................  SAFEWAY #4615 FALCON CO 5411,-4.48,371.45,GROCERIES
22-Apr,Withdrawal Debit Card Visa Check...........................................  LOWES #00907* 866-483-7521 NC 5200,-186.6,184.85,Others
23-Apr,Withdrawal POS #311310101087...........................................  LOWE’S #2423 COLORADOSPRIN CO 5200,-27.92,156.93,Others
23-Apr,Withdrawal POS #311311077917...........................................  MAVERIK #608 COLORADO SPRI CO 5541,-7.88,149.05,Others
23-Apr,Withdrawal POS #311313679135...........................................  KUM&GO 0665R CO SPRIN CO SPRINGS CO 5541,-7.39,141.66,Others
23-Apr,Withdrawal Debit Card Visa Check...........................................  094 TORCHYS COLORADO SP COLORADO SPRI CO 5812,-5.62,136.04,DINING
23-Apr,Withdrawal Debit Card Visa Check...........................................  SONIC #4735 PEYTON CO 5814,-11.66,124.38,SHOPPING
24-Apr,Withdrawal Debit Card Visa Check...........................................  094 TORCHYS COLORADO SP COLORADO SPRI CO 5812,-7.4,116.98,DINING
24-Apr,Withdrawal Debit Card Visa Check...........................................  094 TORCHYS COLORADO SP COLORADO SPRI CO 5812,-6.55,110.43,DINING
25-Apr,Withdrawal Debit Card Visa Check...........................................  PANDA EXPRESS 700 COLORADO SPRI CO 5814,-12.98,97.45,DINING
25-Apr,Withdrawal Debit Card Visa Check...........................................  094 TORCHYS COLORADO SP COLORADO SPRI CO 5812,-3.56,93.89,DINING
25-Apr,Withdrawal Debit Card Visa Check...........................................  RAISING CANES 0468 COLORADO SPRI TX 5814,-10.81,83.08,DINING
26-Apr,Withdrawal Debit Card Visa Check...........................................  CIRCLE K 09874 COLORADO SPRI CO 5499,-5.96,77.12,Others
26-Apr,Withdrawal POS #311617341562...........................................  TRADER JOE S #30 TRADER COLORADO SPRI CO 5411,-3.79,73.33,Others
26-Apr,Withdrawal Debit Card Visa Check...........................................  Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA 379361-1.18-61933N11.no8 026847743 4-5 AccountNumber 1159412 StatementPeriod04/01/23thru04/30/23 Page 8 of 10 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance ALBERTACOS MEXICAN FOO COLORADO SPRI CO 5814,-18.1,55.23,DINING
26-Apr,Withdrawal Debit Card Visa Check...........................................  Subway 24261 Colorado Spri CO 5814,-25.55,29.68,DINING
26-Apr,Withdrawal Debit Card Visa Check...........................................  LEVELUPSMOOTHIEKING26 855-466-5585 MA 5812,-17.84,11.84,Others
27-Apr,Withdrawal POS #311709310084...........................................  CIRCLE K 09847 COLORADO SPRN CO 5541,-7.63,4.21,Others
27-Apr,Deposit Home Banking Transfer From Share 12......................  REF# 59088361,160,164.21,TRANSFERS
27-Apr,Withdrawal POS #311718079487...........................................  EMPIRE 8154 COLORADO SPRI CO 5541,-23.86,140.35,Others
28-Apr,Withdrawal Debit Card Visa Check...........................................  CIRCLE K 09847 COLORADO SPRI CO 5542,-57,83.35,Others
28-Apr,Deposit ACH UNIVERSITY OF CO............................................  TYPE: DIR DEP CO: UNIVERSITY OF CO DEP PRENOTIFICATION FROM UNIVERSITY OF CO,590.62,673.97,INCOME/SALARY
28-Apr,Withdrawal Debit Card Visa Check...........................................  RED ROBIN NO 207 COLORADO SPRI CO 5812,-56.34,617.63,SHOPPING
28-Apr,Withdrawal POS #311814001015...........................................  MAVERIK #608 COLORADO SPRI CO 5542,-20.04,597.59,Others
28-Apr,Withdrawal Debit Card Visa Check...........................................  RAISING CANES 0468 COLORADO SPRI TX 5814,-10.61,586.98,DINING
28-Apr,Withdrawal Debit Card Visa Check...........................................  094 TORCHYS COLORADO SP COLORADO SPRI CO 5812,-6.79,580.19,DINING
28-Apr,Withdrawal POS #311800016990...........................................  KING SOOPERS #0119 9225 N. UNION COLORADO SPRI CO 5411,-54.92,525.27,GROCERIES
28-Apr,Withdrawal Debit Card Visa Check...........................................  LEVELUPSMOOTHIEKING01 855-466-5585 MA 5812,-15.13,510.14,Others
29-Apr,Withdrawal POS #311900605798...........................................  SEI 33710 6040 BARNES RD US COLORADO SPRI CO 5541,-9.3,500.84,Others
29-Apr,Withdrawal POS #311912403090...........................................  COSTCO WHSE #1014 COLORADO SPRI CO 5300,-180.4,320.44,GROCERIES
30-Apr,Withdrawal Debit Card Visa Check...........................................  094 TORCHYS COLORADO SP COLORADO SPRI CO 5812,-6.61,313.83,DINING
30-Apr,Withdrawal POS #312020541666...........................................  KING SOOPERS #01 9225 N COLORADO SPRI CO Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA AccountNumber 1159412 StatementPeriod04/01/23thru04/30/23 Page 9 of 10 1111111111111111111111010001001101110101001110011010100110000001010000001100010011000011101010101010000001010100001100010011000011011000101110000000110011000101010010100100010111000110000100011101010110100011111000001011110011100111001001111101010111011000110110111010111011000000010001011110110001111110101111111000111011000010110011111101110001111111101010100011001001100100111101101111111101111001111111111010101111010100010011010100000110100110111000101011110101010101010101010101 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance 5411,-61.69,252.14,GROCERIES
30-Apr,"Deposit Dividend Tiered Rate..................................................  Annual Percentage Yield Earned 0.030% for period: 04/01/23 to 04/30/23 Ending Balance............................................................................. 252.15 No Strings Checking - 11 NO STRINGS CHECKING Dividends Earned YTD: 0.05 JointOwner:TYMITCHELL Beginning Balance + Deposits & Other Credits (4) - Checks Cleared (0) - Withdrawals & Other Debits (0) = Ending Balance $0.01 $1,200.04 $0.00 $0.00 $1,200.05 TransDate EffDate TransactionDescription Amount Balance Beginning Balance......................................................................... 0.01",0.01,252.15,YIELD
4-Apr,"Deposit Home Banking Transfer REF# 58451730....................  From HODGES,JUSTINE B 532694 Share 10",600,600.01,TRANSFERS
6-Apr,"Deposit Home Banking Transfer REF# 58499861....................  From HODGES,JUSTINE B 532694 Share 01",300,900.01,TRANSFERS
19-Apr,Deposit Home Banking Transfer From Share 10......................  REF# 58864187,300,"1,200.01",TRANSFERS
30-Apr,"Deposit Dividend Tiered Rate..................................................  Annual Percentage Yield Earned 0.050% for period: 04/01/23 to 04/30/23 Ending Balance............................................................................. 1,200.05 No Strings Checking - 12 NO STRINGS CHECKING Dividends Earned YTD: 0.01 JointOwner:TYMITCHELL Beginning Balance + Deposits & Other Credits (2) - Checks Cleared (0) - Withdrawals & Other Debits (2) = Ending Balance $150.00 $150.01 $0.00 $300.00 $0.01 TransDate EffDate TransactionDescription Amount Balance Beginning Balance......................................................................... 150.00",0.04,"1,200.05",YIELD
6-Apr,Deposit Home Banking Transfer From Share 10......................  REF# 58489894,150,300,TRANSFERS
8-Apr,Withdrawal Home Banking Transfer To Share 10....................  REF# 58563927,-140,160,TRANSFERS
27-Apr,Withdrawal Home Banking Transfer To Share 10....................  REF# 59088361,-160,0,TRANSFERS
30-Apr,Deposit Dividend Tiered Rate..................................................  Annual Percentage Yield Earned 0.080% for period: 04/01/23 to 04/30/23 Ending Balance............................................................................. 0.01 Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA 379361-1.18-61933N11.no8 026847743 5-5 AccountNumber 1159412 StatementPeriod04/01/23thru04/30/23 Page 10 of 10 No Strings Checking - 13 NO STRINGS CHECKING Dividends Earned YTD: 0.01 JointOwner:TYMITCHELL Beginning Balance + Deposits & Other Credits (3) - Checks Cleared (0) - Withdrawals & Other Debits (3) = Ending Balance $120.00 $210.01 $0.00 $236.00 $94.01 TransDate EffDate TransactionDescription Amount Balance Beginning Balance......................................................................... 120.00,0.01,0.01,YIELD
4-Apr,Withdrawal Home Banking Transfer To Share 10....................  REF# 58451489,-56,64,TRANSFERS
4-Apr,Deposit Home Banking Transfer From Share 10......................  REF# 58451518,150,214,TRANSFERS
6-Apr,Deposit Home Banking Transfer From Share 10......................  REF# 58489897,60,274,TRANSFERS
12-Apr,"Withdrawal Home Banking Transfer REF# 58656095..............  To HODGES,JUSTINE B 532694 Share 10",-40,234,TRANSFERS
24-Apr,"Withdrawal Home Banking Transfer........................................  To HODGES,JUSTINE B 532694 Share 10 REF# 59012041 VILLA",-140,94,Others
30-Apr,"Deposit Dividend Tiered Rate..................................................  Annual Percentage Yield Earned 0.060% for period: 04/01/23 to 04/30/23 Ending Balance............................................................................. 94.01 YEAR-TO-DATE DIVIDEND SUMMARY Reportable Dividends this Year:............................................................................. 0.16 Reportable dividends of $10.00 or more are reported to the IRS as interest income for the year. ** The Visa Foreign Currency Transaction Fee will be assessed to purchases made outside of the United States as well as to online purchases made within the United States, but the merchant is located outside the United States. ** No-cost loan payment alternatives are available, please call 800-525-9623 for more information. Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA",0.01,94.01,YIELD
4-Aug,Deposit ACH UNIVERSITY OF CO............................................  TYPE: DIR DEP CO: UNIVERSITY OF CO,216.86,223.1,INCOME/SALARY
6-Aug,Withdrawal Home Banking Transfer To Share 10....................  REF# 62131774,-120,103.1,TRANSFERS
7-Aug,Withdrawal Transfer To Share 10............................................ ,-66.38,36.72,TRANSFERS
7-Aug,Withdrawal Transfer To Share 10............................................ ,-12.97,23.75,TRANSFERS
8-Aug,Withdrawal Transfer To Share 10............................................  DEP PRENOTIFICATION FROM Colorado Springs,-15.41,8.34,TRANSFERS
10-Aug,Withdrawal Transfer To Share 10............................................ ,-3.34,5,TRANSFERS
10-Aug,"Deposit Home Banking Transfer REF# 62237311....................  From HODGES,JUSTINE B 532694 Share 00",100,105,TRANSFERS
10-Aug,Withdrawal Home Banking Transfer To Share 10....................  REF# 62244036,-90,15,TRANSFERS
18-Aug,Deposit ACH UNIVERSITY OF CO............................................  TYPE: DIR DEP CO: UNIVERSITY OF CO,233.24,248.24,INCOME/SALARY
20-Aug,Deposit at ATM #000000007422.............................................  ENT CREDIT UNION 7020 CAMPUS DRIVE Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA AccountNumber 1159412 StatementPeriod08/01/23thru08/31/23 Page 2 of 13 Primary Savings - 00 PRIMARY SAVINGS (continued) TransDate EffDate TransactionDescription Amount Balance COLORADO SPRI CO,"1,225.00","1,473.24",Others
20-Aug,Deposit at ATM #000000007423.............................................  ENT CREDIT UNION 7020 CAMPUS DRIVE COLORADO SPRI CO,"1,630.00","3,103.24",Others
21-Aug,Withdrawal Home Banking Transfer To Share 10....................  REF# 62561047,-160,"2,943.24",TRANSFERS
21-Aug,Withdrawal Home Banking Transfer To Share 10....................  REF# 62561103,-25,"2,918.24",TRANSFERS
23-Aug,"Withdrawal Home Banking Transfer REF# 62611037..............  To HODGES,JUSTINE B 532694 Share 00",-500,"2,418.24",TRANSFERS
23-Aug,Withdrawal Home Banking Transfer To Share 10....................  REF# 62611048,-350,"2,068.24",TRANSFERS
24-Aug,Withdrawal Home Banking Transfer To Share 10....................  REF# 62642305,-130,"1,938.24",TRANSFERS
24-Aug,Withdrawal Home Banking Transfer To Share 10....................  REF# 62651577,-215,"1,723.24",TRANSFERS
25-Aug,Deposit ACH Colorado Springs................................................  TYPE: PR PAYMENT CO: Colorado Springs,113.47,"1,836.71",INCOME/SALARY
26-Aug,Withdrawal Home Banking Transfer To Share 10....................  REF# 62713024,-600,"1,236.71",TRANSFERS
27-Aug,Withdrawal Home Banking Transfer To Share 10....................  REF# 62734632,-200,"1,036.71",TRANSFERS
31-Aug,"Deposit Dividend 0.050%........................................................  Annual Percentage Yield Earned 0.050% for period: 08/01/23 to 08/31/23 Ending Balance............................................................................. 1,036.74 No Strings Checking - 10 NO STRINGS CHECKING Dividends Earned YTD: 0.05 JointOwner:TYMITCHELL Beginning Balance + Deposits & Other Credits (33) - Checks Cleared (0) - Withdrawals & Other Debits (110)= Ending Balance $150.42 $7,706.54 $0.00 $7,759.04 $97.92 TransDate EffDate TransactionDescription Amount Balance Beginning Balance......................................................................... 150.42",0.03,"1,036.74",YIELD
1-Aug,"Deposit Home Banking Transfer REF# 61951582....................  From HODGES,JUSTINE B 532694 Share 10",57,207.42,TRANSFERS
1-Aug,"Deposit Home Banking Transfer REF# 61951681....................  Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA AccountNumber 1159412 StatementPeriod08/01/23thru08/31/23 Page 3 of 13 1111111111111111111111010011001100110111001110011000100010000001110000001101110011000001101011100010000001111100001111100011000011011000100110000000111111000101110010100100110111001010000100110101010101000011111011101011111010000111000000001100100101011011100011111110000011111100010011011100110011000001011111001000101011001110010000001100001100000111111010011001011110100101111010010010110010011110101101101001100111001011010000001100100111000110001000001010110101010101010101010101 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance From HODGES,JUSTINE B 532694 Share 00",59.3,266.72,TRANSFERS
1-Aug,Withdrawal Adjustment Debit Card Credit Voucher.................  BOOTBARN.COM 888-440-2668 CA 5661,309.66,576.38,Others
